place,lat,lon,population,foreign,native,hh_income,pct_english,pct_asian_lang,pct_spanish,pct_euro,pct_asian,pct_white,pct_black,pct_other,pct_hispanic,pct_full_time,pct_no_work,pct_part_time,pct_urban,less_than_hs,less_bachelors,doctorate
NewCambriacity_MO,39.7766,-92.7513,222.0,0.0,1.0,25536.0,1.0,0.0,0.0,0.0,0.0,0.973,0.0045,0.0,0.0045,0.7341,0.2023,0.0983,0.0,0.1959,0.723,0.0
NewCarlislecity_OH,39.9403,-84.0296,5735.0,0.0116,0.9884,39081.0,0.9501,0.0,0.0281,0.0159,0.0035,0.9618,0.0033,0.0059,0.0274,0.8482,0.1013,0.0842,0.0,0.1506,0.6337,0.004
NewCarlisletown_IN,41.7041,-86.5046,1505.0,0.0075,0.9925,missing,0.9325,0.0082,0.0247,0.028,0.0007,0.9801,0.0047,0.0066,0.0113,0.8513,0.1129,0.0771,0.0,missing,missing,missing
NewCastleNorthwest_PA,41.0213,-80.3529,1535.0,0.0,1.0,28500.0,0.9246,0.0,0.0112,0.0642,0.0117,0.9798,0.0033,0.0,0.0046,0.8007,0.1701,0.0425,0.0,missing,missing,missing
NewCastlecity_PA,40.9973,-80.3446,26309.0,0.018,0.982,25598.0,0.9004,0.0028,0.0233,0.0683,0.0017,0.8677,0.1079,0.0052,0.0076,0.7993,0.1611,0.0655,0.0,missing,missing,missing
NewEffingtontown_SD,45.8561,-96.9191,233.0,0.0125,0.9875,20909.0,0.8868,0.0,0.0,0.0189,0.0,0.7296,0.0,0.0943,0.0,0.8085,0.1702,0.0691,0.0,missing,missing,missing
NewFranklinvillage_OH,40.9509,-81.5392,2191.0,0.0274,0.9726,50944.0,0.9365,0.0,0.0204,0.0395,0.0037,0.984,0.0046,0.0036,0.0023,0.8388,0.1275,0.0516,0.0,missing,missing,missing
NewHavencity_IN,41.0676,-85.0215,12406.0,0.0167,0.9833,41802.0,0.9367,0.0083,0.0264,0.0264,0.0029,0.9703,0.0067,0.002,0.0195,0.8646,0.0837,0.0759,0.0,0.1217,0.6331,0.0012
NewHaventown_WV,38.9878,-81.9641,1559.0,0.0,1.0,27008.0,0.9764,0.0029,0.0118,0.0088,0.0032,0.9865,0.0038,0.0,0.0058,0.7841,0.1937,0.0397,0.0,missing,missing,missing
NewLisboncity_WI,43.877,-90.1659,1436.0,0.006,0.994,34479.0,0.9385,0.0032,0.0268,0.0315,0.0056,0.9742,0.0021,0.0,0.0139,0.8399,0.119,0.0771,0.0,missing,missing,missing
NewLondoncity_MN,45.2982,-94.9449,1066.0,0.0215,0.9785,missing,0.9104,0.0,0.0363,0.0533,0.0009,0.9775,0.0,0.0,0.015,0.8263,0.1339,0.0627,0.0,missing,missing,missing
NewLondoncity_TX,32.2561,-94.9316,987.0,0.0312,0.9688,28984.0,0.9322,0.0,0.056,0.0118,0.001,0.9159,0.0486,0.0,0.0486,0.851,0.1379,0.0566,0.0,0.2224,0.575,0.0016
NewMillfordvillage_IL,42.1834,-89.071,541.0,0.0105,0.9895,39531.0,0.9563,0.0,0.0262,0.0175,0.0148,0.939,0.0185,0.0,0.0314,0.8907,0.0605,0.0698,0.0,missing,missing,missing
NewPraguecity_MN,44.5453,-93.5753,4559.0,0.004,0.996,missing,0.8524,0.0,0.0173,0.1302,0.0035,0.9825,0.0013,0.0,0.0088,0.8659,0.0896,0.0814,0.0,missing,missing,missing
NewRichmondtown_IN,40.1949,-86.9785,349.0,0.0,1.0,missing,1.0,0.0,0.0,0.0,0.0,0.9885,0.0057,0.0,0.0029,0.8626,0.1107,0.0611,0.0,missing,missing,missing
NewRiverCDP_AZ,33.8691,-112.0858,10740.0,0.0369,0.9631,62307.0,0.8788,0.0035,0.0796,0.0368,0.0046,0.9587,0.0042,0.0013,0.0485,0.8593,0.0929,0.0604,0.0,0.0565,0.599,0.0093
NewRoadscity_LA,30.6963,-91.439,4966.0,0.0105,0.9895,24583.0,0.8888,0.0071,0.0208,0.0833,0.0079,0.3899,0.5932,0.0,0.0062,0.7929,0.1708,0.0529,0.0,0.2628,0.4391,0.0035
NewRosstown_IN,39.9646,-86.715,334.0,0.0061,0.9939,missing,0.984,0.0,0.016,0.0,0.0,0.9701,0.0,0.0,0.024,0.8932,0.1026,0.0385,0.0,missing,missing,missing
