"place,population,foreign,native,hh_income,pct_english,pct_asian_lang,pct_spanish,pct_euro,pct_asian,pct_white,pct_black,pct_other,pct_hispanic,pct_full_time,pct_no_work,pct_part_time,pct_urban"
"CoffeeSpringstown_al,"	"251.0,0.0071,0.9929,missing,0.9675,0.0,0.0163,0.0163,0.0,0.9323,0.0398,0.0,0.0,0.3966,0.5388,0.0647,0.0"
"Coffeevilletown_al,"	"360.0,0.0,1.0,19545.0,0.9702,0.0,0.0179,0.0119,0.0,0.6111,0.3889,0.0,0.0,0.4224,0.4585,0.1191,0.0"
"Cokertown_al,"	"808.0,0.0,1.0,41184.0,0.9203,0.0,0.0543,0.0254,0.0087,0.9616,0.0198,0.0,0.0012,0.5781,0.3576,0.0642,0.0"
"Collinsvilletown_al,"	"1644.0,0.1629,0.8371,21964.0,0.801,0.0,0.1885,0.0052,0.0085,0.6332,0.1618,0.0052,0.2348,0.4763,0.4359,0.0878,0.0"
"Colonytown_al,"	"385.0,0.0,1.0,32708.0,0.9419,0.0,0.0387,0.0194,0.0,0.0571,0.9351,0.0,0.0078,0.6037,0.311,0.0854,0.0"
"Columbianacity_al,"	"3316.0,0.0137,0.9863,34034.0,0.9502,0.0031,0.0358,0.0109,0.0015,0.7859,0.196,0.0,0.0199,0.5238,0.3737,0.1025,0.0"
"Columbiatown_al,"	"804.0,0.0172,0.9828,27500.0,0.9591,0.0,0.0117,0.0292,0.0,0.7438,0.245,0.0,0.005,0.5246,0.3883,0.0872,0.0"
"ConcordCDP_al,"	"1809.0,0.0,1.0,missing,0.9674,0.0,0.0326,0.0,0.0022,0.9834,0.0028,0.0,0.0028,0.578,0.3202,0.1017,0.0"
"Coosadatown_al,"	"1382.0,0.012,0.988,39405.0,0.9698,0.0,0.0259,0.0043,0.0014,0.5608,0.4255,0.0,0.0065,0.562,0.311,0.127,0.0"
"Cordovacity_al,"	"2423.0,0.014,0.986,17389.0,0.9491,0.0,0.0302,0.0207,0.0004,0.856,0.1325,0.0,0.0091,0.3488,0.5611,0.0901,0.0"
"Cottonwoodtown_al,"	"1170.0,0.0095,0.9905,21452.0,0.9433,0.0,0.0486,0.0081,0.0,0.6906,0.2906,0.0,0.0197,0.5253,0.3863,0.0883,0.0"
"CountyLinetown_al,"	"257.0,0.0,1.0,missing,0.9605,0.0,0.0395,0.0,0.0,0.9572,0.0272,0.0,0.0117,0.5943,0.3314,0.0743,0.0"
"Courtlandtown_al,"	"769.0,0.0051,0.9949,27500.0,0.9416,0.0,0.0357,0.0227,0.0026,0.5423,0.4044,0.0,0.0091,0.5306,0.387,0.0823,0.0"
