"CountyLinetown_al,"	"0.0,1.0,0.0,0.9605,0.0,0.8857,0.0857,0.0,0.04,0.0395"
"Courtlandtown_al,"	"0.0051,27500.0,27500.0,0.9949,0.0,0.9416,0.0227,0.8494,0.1156,0.0,0.0473,0.0357"
"Cowartstown_al,"	"0.0077,36688.0,36688.0,0.9923,0.0,0.9444,0.0079,0.873,0.0882,0.0,0.0712,0.0477"
"Creolatown_al,"	"0.001,0.999,0.0,0.9472,0.0181,0.8489,0.1169,0.0042,0.0533,0.0306"
"Crossvilletown_al,"	"0.0074,31394.0,31394.0,0.9926,0.0039,0.9882,0.002,0.8565,0.1247,0.0,0.0395,0.0059"
"Cubatown_al,"	"0.0048,50795.0,50795.0,0.9952,0.0,0.9415,0.0468,0.8462,0.0855,0.0,0.0769,0.0117"
"Cullmancity_al,"	"0.0815,0.003,0.0339,29164.0,29164.0,0.4503,0.2341,0.9661,0.0042,0.9393,0.016,0.8228,0.1321,0.0,0.075,0.0406"
"Dadevillecity_al,"	"0.001,25266.0,25266.0,0.999,0.0,0.9651,0.0063,0.823,0.1455,0.0,0.0643,0.0286"
"Dalevillecity_al,"	"0.0725,34473.0,34473.0,0.9275,0.043,0.8797,0.0486,0.8322,0.1337,0.0,0.0728,0.0287"
"Daphnecity_al,"	"0.0833,0.0133,0.0271,52603.0,52603.0,0.4602,0.0543,0.9729,0.0035,0.9317,0.0251,0.8582,0.103,0.0011,0.063,0.0387"
"DauphinIslandtown_al,"	"0.0226,44219.0,44219.0,0.9774,0.0088,0.9193,0.0333,0.7993,0.149,0.0035,0.078,0.0351"
"Davistontown_al,"	"0.0,1.0,0.0175,0.9386,0.0,0.7955,0.1682,0.0,0.05,0.0439"
"Daytontown_al,"	"0.0,12500.0,12500.0,1.0,0.0,1.0,0.0,0.6944,0.2222,0.0,0.0833,0.0"
"Deatsvilletown_al,"	"0.0,40938.0,40938.0,1.0,0.0,0.9625,0.025,0.8514,0.0991,0.0,0.0867,0.0125"
"Decaturcity_al,"	"0.0593,0.0056,0.0448,37192.0,37192.0,0.5036,0.1621,0.9552,0.0041,0.9294,0.0169,0.8448,0.1177,0.0019,0.0665,0.0477"
"Demopoliscity_al,"	"0.0177,26481.0,26481.0,0.9823,0.0,0.9465,0.0105,0.7876,0.1674,0.0033,0.0668,0.0397"
"Detroittown_al,"	"0.0,1.0,0.0,0.9759,0.0,0.7987,0.1611,0.0,0.0537,0.0241"
"DodgeCitytown_al,"	"0.0616,0.0,0.0031,30417.0,30417.0,0.5271,0.3448,0.9969,0.0,0.95,0.0227,0.8379,0.1221,0.0,0.0695,0.0273"
"Doracity_al,"	"0.035,0.007,0.0067,21458.0,21458.0,0.5271,0.331,0.9933,0.004,0.9445,0.0198,0.7898,0.1811,0.0059,0.0499,0.0258"
"Dothancity_al,"	"0.0652,0.007,0.0204,35000.0,35000.0,0.4903,0.1779,0.9796,0.0063,0.9569,0.0153,0.8402,0.1189,0.0007,0.0647,0.0207"
"DoubleSpringstown_al,"	"0.0,1.0,0.0,0.9769,0.0046,0.8273,0.1241,0.0,0.0584,0.0185"
"Douglastown_al,"	"0.009,0.991,0.0,0.9604,0.0,0.8486,0.133,0.0,0.0367,0.0396"
"Doziertown_al,"	"0.0055,13750.0,13750.0,0.9945,0.0,0.9524,0.0,0.8099,0.1761,0.0,0.088,0.0476"
"Duttontown_al,"	"0.0058,0.9942,0.0,0.912,0.04,0.8008,0.125,0.0,0.1211,0.048"
"EastBrewtoncity_al,"	"0.0587,0.0032,0.0086,23125.0,23125.0,0.5754,0.2573,0.9914,0.002,0.9569,0.0157,0.8246,0.1484,0.0029,0.0519,0.0225"
"Eclectictown_al,"	"0.0037,0.9963,0.0,0.9556,0.0104,0.7989,0.1667,0.0,0.0754,0.0339"
"EdgewaterCDP_al,"	"0.0,21322.0,21322.0,1.0,0.0,1.0,0.0,0.8418,0.1378,0.0,0.0578,0.0"
"Edwardsvilletown_al,"	"0.0,1.0,0.0,1.0,0.0,0.7784,0.1591,0.0,0.1364,0.0"
"Elbacity_al,"	"0.0216,0.0,0.0012,24021.0,24021.0,0.4121,0.347,0.9988,0.0,0.9733,0.0044,0.7598,0.1939,0.0,0.0676,0.0222"
"Elbertatown_al,"	"0.0543,22375.0,22375.0,0.9457,0.0,0.8652,0.0783,0.7648,0.1853,0.0,0.0546,0.0565"
"Eldridgetown_al,"	"0.011,0.989,0.0,1.0,0.0,0.7676,0.2042,0.0,0.0282,0.0"
"Elkmonttown_al,"	"0.0043,0.9957,0.0,0.9669,0.0331,0.8252,0.1605,0.0,0.0287,0.0"
"Elmoretown_al,"	"0.0,1.0,0.0,0.9529,0.0,0.7881,0.1722,0.0,0.0861,0.0471"
"Emelletown_al,"	"0.0,1.0,0.0,1.0,0.0,0.75,0.25,0.0,0.0,0.0"
"Enterprisecity_al,"	"0.0842,0.0075,0.0432,37661.0,37661.0,0.453,0.1674,0.9568,0.0173,0.8892,0.0358,0.8431,0.1161,0.0013,0.0625,0.0564"
"Epestown_al,"	"0.0,25625.0,25625.0,1.0,0.0,0.9195,0.046,0.7457,0.2543,0.0,0.0231,0.0345"
"Ethelsvilletown_al,"	"0.0169,0.9831,0.0,1.0,0.0,0.7692,0.2115,0.0,0.0577,0.0"
"Eufaulacity_al,"	"0.0592,0.0025,0.0174,27910.0,27910.0,0.4982,0.2305,0.9826,0.0024,0.9485,0.0142,0.8474,0.1162,0.0,0.0635,0.035"
"Eunolatown_al,"	"0.0,1.0,0.0,1.0,0.0,0.7389,0.2357,0.0,0.0318,0.0"
"Eutawcity_al,"	"0.043,0.0016,0.0053,23056.0,23056.0,0.4984,0.2441,0.9947,0.0026,0.975,0.0118,0.7672,0.1933,0.0,0.06,0.0105"
"Evatown_al,"	"0.0087,0.9913,0.0,0.9672,0.0109,0.8469,0.102,0.0,0.0969,0.0219"
"Evergreencity_al,"	"0.0372,0.0061,0.0016,20979.0,20979.0,0.5463,0.219,0.9984,0.0,0.9639,0.0232,0.8014,0.153,0.0,0.069,0.0129"
"Exceltown_al,"	"0.0,1.0,0.0,1.0,0.0,0.8797,0.0778,0.0,0.0708,0.0"
"Fairfieldcity_al,"	"0.0904,0.0049,0.0065,27845.0,27845.0,0.4869,0.1473,0.9935,0.0,0.9394,0.0238,0.8164,0.1398,0.0048,0.0692,0.032"
"Fairhopecity_al,"	"0.0313,42913.0,42913.0,0.9687,0.0023,0.9376,0.0352,0.8303,0.1302,0.0013,0.0712,0.0236"
"Fairviewtown_al,"	"0.0741,0.0,0.1617,31875.0,31875.0,0.5185,0.2963,0.8383,0.0,0.8135,0.0311,0.7666,0.1304,0.0,0.1167,0.1554"
"Falkvilletown_al,"	"0.0194,34583.0,34583.0,0.9806,0.0,0.9158,0.0263,0.8034,0.1692,0.0,0.0321,0.0579"
"Faunsdaletown_al,"	"0.0,1.0,0.0,1.0,0.0,0.7209,0.186,0.0,0.093,0.0"
"Fayettecity_al,"	"0.0186,25714.0,25714.0,0.9814,0.0067,0.9605,0.0125,0.8179,0.1448,0.0,0.0687,0.0202"
"FivePointstown_al,"	"0.0,1.0,0.0,0.8305,0.0508,0.8136,0.161,0.0,0.0424,0.1186"
"Flomatontown_al,"	"0.0103,25875.0,25875.0,0.9897,0.0,0.9632,0.0046,0.821,0.1519,0.0,0.0575,0.0322"
